loan_amnt,term_months,int_rate,installment,grade_ord,sub_grade_ord,emp_length_years,annual_inc,dti,revol_util,inq_last_6mths,open_acc,total_acc,issue_d_year,issue_d_month,earliest_cr_line_year,earliest_cr_line_month,credit_history_age_months,addr_state,loan_status,total_pymnt,total_rec_prncp
27000,60.0,26.24,812.24,3.0,25.0,1.0,100000.0,19.37,91.3,0.0,28.0,52.0,2017.0,2.0,2001.0,10.0,184.0,MN,Charged Off,11672.09,2449.93
1800,36.0,13.99,61.52,5.0,14.0,2.0,60000.0,22.22,96.5,0.0,4.0,9.0,2015.0,3.0,2006.0,5.0,106.0,LA,Fully Paid,2020.98,1800.0
21000,36.0,9.8,675.65,6.0,8.0,1.0,95000.0,8.19,33.0,0.0,17.0,32.0,2016.0,1.0,2000.0,7.0,186.0,CA,Fully Paid,22822.1154787227,21000.0
10000,36.0,11.99,332.1,6.0,10.0,8.0,130000.0,4.14,28.3,1.0,13.0,13.0,2017.0,11.0,2009.0,3.0,104.0,CA,Current,4968.18,3737.21
33600,60.0,13.06,765.54,5.0,11.0,2.0,80000.0,8.1,31.9,1.0,10.0,17.0,2018.0,5.0,2007.0,3.0,134.0,RI,Current,6780.16,3759.46
6000,36.0,7.35,186.23,7.0,4.0,4.0,62000.0,15.59,8.0,0.0,19.0,26.0,2017.0,8.0,2004.0,12.0,152.0,FL,Fully Paid,6197.7807013846,6000.0
4500,36.0,7.9,140.81,7.0,4.0,6.0,115000.0,2.95,8.0,0.0,12.0,32.0,2013.0,1.0,1996.0,12.0,193.0,CA,Fully Paid,5069.0038892196,4500.0
7500,36.0,10.99,245.51,6.0,8.0,10.0,38000.0,14.21,75.8,0.0,5.0,23.0,2014.0,10.0,2005.0,6.0,112.0,CA,Fully Paid,7937.79,7500.0
10000,36.0,18.99,366.51,4.0,18.0,1.0,100000.0,11.76,75.7,1.0,9.0,22.0,2016.0,12.0,2005.0,1.0,143.0,CA,Fully Paid,10100.225,10000.0
35000,60.0,13.98,814.03,5.0,13.0,10.0,96000.0,20.33,97.2,0.0,8.0,25.0,2014.0,10.0,1999.0,7.0,183.0,RI,Fully Paid,45881.511736117,35000.0
24000,60.0,18.06,610.23,4.0,17.0,4.0,75000.0,20.82,17.7,1.0,13.0,29.0,2017.0,7.0,2001.0,3.0,196.0,LA,Charged Off,5467.99,2381.04
10000,36.0,10.91,326.97,6.0,9.0,10.0,48000.0,11.65,36.7,0.0,8.0,17.0,2017.0,10.0,2007.0,5.0,125.0,MO,Charged Off,3590.61,2717.9
15000,36.0,11.99,498.15,6.0,10.0,5.0,92000.0,30.81,94.8,0.0,10.0,15.0,2017.0,6.0,2004.0,2.0,160.0,WY,Current,9943.02,7668.05
30000,36.0,9.93,967.03,6.0,7.0,2.0,90000.0,26.29,52.7,0.0,26.0,35.0,2017.0,6.0,2007.0,11.0,115.0,FL,Current,19324.05,15563.84
8000,36.0,6.11,243.78,7.0,1.0,0.0,75000.0,5.92,42.2,1.0,9.0,9.0,2018.0,10.0,2013.0,10.0,60.0,CA,Current,1122.4,969.6
28000,36.0,7.89,876.0,7.0,5.0,5.0,105000.0,15.54,76.0,0.0,9.0,33.0,2015.0,5.0,1999.0,10.0,187.0,TX,Fully Paid,28852.19,28000.0
6200,36.0,7.26,192.18,7.0,4.0,1.0,52000.0,20.29,47.5,1.0,12.0,18.0,2015.0,8.0,1997.0,7.0,217.0,NC,Fully Paid,6835.5033249497,6200.0
4000,36.0,9.75,128.6,6.0,8.0,1.0,125000.0,19.74,63.2,1.0,15.0,29.0,2016.0,6.0,1999.0,7.0,203.0,TX,Fully Paid,4124.88,4000.0
12250,36.0,15.81,429.53,5.0,14.0,10.0,45244.0,19.92,74.0,2.0,13.0,27.0,2012.0,3.0,1998.0,11.0,160.0,NY,Fully Paid,14381.7741371199,12250.0
25000,60.0,14.99,594.62,5.0,15.0,5.0,60000.0,19.32,52.2,1.0,13.0,27.0,2014.0,10.0,1993.0,10.0,252.0,IL,Fully Paid,34944.6604899004,25000.0
18000,60.0,30.75,590.69,2.0,30.0,10.0,52000.0,26.31,33.3,0.0,9.0,26.0,2017.0,9.0,2004.0,4.0,161.0,CO,In Grace Period,9389.54,2505.87
10175,36.0,7.89,318.34,7.0,5.0,1.0,70000.0,17.02,1.0,0.0,10.0,33.0,2015.0,2.0,1991.0,8.0,282.0,NV,Fully Paid,10985.18,10175.0
6000,36.0,8.19,188.55,7.0,5.0,2.0,39000.0,26.9,33.1,0.0,19.0,31.0,2014.0,11.0,2007.0,6.0,89.0,PA,Fully Paid,6744.4067977115,6000.0
12000,60.0,10.49,257.87,6.0,8.0,6.0,59000.0,18.58,78.6,1.0,17.0,28.0,2016.0,10.0,2006.0,8.0,122.0,NC,Current,7213.37,4829.1
18000,36.0,11.53,593.83,6.0,10.0,1.0,75000.0,9.78,44.8,0.0,10.0,20.0,2015.0,11.0,1984.0,5.0,378.0,TX,Fully Paid,20163.7133895898,18000.0
15000,60.0,26.24,451.25,3.0,25.0,10.0,35000.0,26.17,81.6,0.0,5.0,16.0,2016.0,11.0,1995.0,4.0,259.0,SC,Late (31-120 days),11520.98,4020.69
20000,60.0,7.34,399.25,7.0,4.0,10.0,182000.0,20.81,12.4,0.0,13.0,35.0,2018.0,4.0,2005.0,11.0,149.0,MD,Current,3984.34,2846.64
9600,36.0,12.74,322.27,5.0,11.0,4.0,43000.0,21.91,84.4,1.0,14.0,18.0,2016.0,12.0,2002.0,3.0,177.0,FL,Current,8372.23,6558.11
36000,36.0,12.73,1208.31,6.0,10.0,3.0,40000.0,3.3,14.0,1.0,17.0,23.0,2018.0,10.0,2005.0,10.0,156.0,GA,Current,4871.43,3358.61
15000,60.0,19.19,390.68,3.0,23.0,2.0,60000.0,33.76,24.0,1.0,14.0,23.0,2015.0,8.0,2000.0,7.0,181.0,FL,Fully Paid,17390.720015546,15000.0
22400,60.0,8.67,461.41,6.0,6.0,7.0,125000.0,20.21,79.8,0.0,16.0,31.0,2015.0,1.0,1993.0,6.0,259.0,NV,Current,22623.3,17564.29
20000,60.0,10.08,425.73,6.0,6.0,6.0,55000.0,23.19,28.6,0.0,5.0,22.0,2018.0,10.0,1996.0,9.0,265.0,UT,Current,1265.99,779.7
8850,36.0,7.34,274.65,7.0,4.0,7.0,46500.0,18.79,34.8,0.0,7.0,9.0,2018.0,4.0,2008.0,3.0,121.0,NV,Fully Paid,9323.237391599,8850.0
10000,36.0,13.56,339.65,5.0,11.0,2.0,85000.0,23.97,39.3,0.0,13.0,19.0,2018.0,8.0,2014.0,1.0,55.0,CA,Current,1718.79,1159.16
12000,36.0,7.99,375.99,7.0,4.0,10.0,134485.0,12.01,53.7,1.0,11.0,23.0,2016.0,6.0,2001.0,9.0,177.0,IL,Current,12021.03,10521.1
5000,36.0,7.49,155.51,7.0,4.0,1.0,40000.0,24.93,21.5,0.0,12.0,15.0,2017.0,2.0,2011.0,5.0,69.0,FL,Current,3727.04,3207.51
10000,36.0,11.8,331.19,6.0,9.0,2.0,35600.0,23.97,69.4,0.0,8.0,17.0,2018.0,11.0,2012.0,8.0,75.0,PA,Current,1006.68,705.46
35000,36.0,10.47,1137.1,6.0,7.0,4.0,150000.0,21.89,73.7,0.0,11.0,16.0,2018.0,10.0,2003.0,11.0,179.0,CA,Current,4528.04,3370.69
7000,36.0,11.49,230.8,6.0,10.0,10.0,43000.0,27.04,44.3,1.0,9.0,14.0,2016.0,11.0,2003.0,7.0,160.0,FL,Current,6227.13,5017.91
14400,36.0,9.44,460.88,6.0,6.0,10.0,182000.0,11.22,33.6,2.0,19.0,32.0,2017.0,9.0,1981.0,7.0,434.0,NJ,Current,7819.86,6296.12
15000,36.0,10.16,485.14,6.0,6.0,3.0,45000.0,17.76,39.2,0.0,7.0,20.0,2013.0,2.0,1990.0,2.0,276.0,AR,Fully Paid,17082.0000058285,15000.0
32000,60.0,18.25,816.95,4.0,18.0,10.0,74790.0,31.88,55.6,1.0,19.0,31.0,2016.0,3.0,2005.0,9.0,126.0,AZ,Current,28641.91,15115.65
20375,36.0,17.99,736.51,4.0,17.0,10.0,120000.0,5.81,76.1,0.0,6.0,8.0,2017.0,4.0,2004.0,6.0,154.0,OH,Current,16162.49,11136.4
13500,36.0,7.26,418.45,7.0,4.0,3.0,75000.0,19.34,66.1,0.0,8.0,19.0,2015.0,7.0,1986.0,6.0,349.0,WA,Fully Paid,15068.4930739762,13500.0
15000,36.0,17.99,542.22,4.0,17.0,10.0,85000.0,16.69,41.7,1.0,17.0,36.0,2016.0,10.0,2005.0,12.0,130.0,VA,Charged Off,7592.27,3764.59
5000,36.0,16.91,178.04,5.0,15.0,10.0,80000.0,24.5,45.3,2.0,9.0,12.0,2018.0,7.0,2006.0,2.0,149.0,NJ,Current,1241.58,785.67
22675,60.0,23.99,652.19,2.0,27.0,10.0,89000.0,23.35,30.1,2.0,13.0,27.0,2015.0,3.0,1996.0,8.0,223.0,MI,Fully Paid,25268.6,22675.0
12000,60.0,19.99,317.86,4.0,19.0,2.0,85000.0,16.46,71.5,0.0,9.0,21.0,2016.0,12.0,2004.0,12.0,144.0,TN,Current,7939.58,3621.21
3000,36.0,18.25,108.84,3.0,21.0,5.0,67000.0,25.31,41.1,4.0,22.0,26.0,2015.0,7.0,2008.0,1.0,90.0,CA,Fully Paid,3911.865464239,3000.0
20000,36.0,7.97,626.46,7.0,5.0,10.0,60000.0,28.02,64.3,0.0,10.0,19.0,2017.0,9.0,2002.0,6.0,183.0,NV,Current,10632.11,8852.69
20000,60.0,15.31,479.06,5.0,15.0,10.0,162000.0,33.45,39.0,0.0,27.0,63.0,2016.0,3.0,1997.0,1.0,230.0,MA,Current,16750.09,9800.82
9800,36.0,10.42,318.16,6.0,8.0,10.0,70800.0,2.88,26.1,0.0,8.0,10.0,2017.0,11.0,2005.0,7.0,148.0,MS,Current,4761.05,3716.65
20000,36.0,5.32,602.3,7.0,1.0,10.0,190000.0,16.9,37.5,0.0,16.0,29.0,2015.0,7.0,1991.0,8.0,287.0,IL,Fully Paid,21670.8096728,20000.0
20000,60.0,16.99,496.95,4.0,16.0,4.0,65500.0,28.67,54.0,0.0,14.0,30.0,2016.0,12.0,1999.0,5.0,211.0,FL,Current,12882.94,6662.46
20000,60.0,11.44,439.25,6.0,9.0,2.0,128000.0,21.76,47.8,1.0,22.0,39.0,2017.0,3.0,2005.0,1.0,146.0,MO,Current,10090.04,6358.97
6750,36.0,13.59,229.36,5.0,12.0,1.0,38000.0,7.65,44.1,0.0,22.0,41.0,2018.0,3.0,2008.0,8.0,115.0,IN,Current,2541.72,1780.64
12000,60.0,11.44,263.55,6.0,9.0,10.0,65000.0,20.6,70.4,1.0,15.0,34.0,2014.0,11.0,1985.0,12.0,347.0,OH,Current,13433.42,9737.27
12000,36.0,5.32,361.38,7.0,1.0,10.0,75000.0,19.36,42.5,1.0,11.0,21.0,2015.0,11.0,1993.0,3.0,272.0,WA,Fully Paid,12979.4278036745,12000.0
6200,36.0,5.32,186.72,7.0,1.0,1.0,93000.0,8.47,0.8,0.0,10.0,15.0,2016.0,2.0,2006.0,9.0,113.0,NY,Current,6741.09,6196.31
20000,36.0,8.39,630.34,6.0,6.0,5.0,61000.0,12.37,56.0,1.0,6.0,11.0,2016.0,2.0,1996.0,5.0,237.0,UT,Fully Paid,21619.4668437605,20000.0
6000,36.0,20.0,222.99,4.0,19.0,1.0,7200.0,26.5,56.6,1.0,4.0,5.0,2017.0,9.0,2001.0,12.0,189.0,MI,Current,3587.85,2234.04
5000,36.0,10.99,163.67,6.0,9.0,4.0,30000.0,30.76,28.0,0.0,8.0,29.0,2015.0,9.0,1987.0,3.0,342.0,FL,Fully Paid,5115.09,5000.0
7450,36.0,14.65,256.99,5.0,15.0,2.0,57000.0,23.09,54.8,0.0,19.0,33.0,2015.0,9.0,1997.0,7.0,218.0,CA,Fully Paid,8832.3307324854,7450.0
40000,36.0,13.56,1358.58,5.0,11.0,4.0,69000.0,32.31,49.3,0.0,18.0,45.0,2018.0,10.0,2004.0,7.0,171.0,NV,Current,5404.19,3688.25
4000,36.0,13.99,136.7,5.0,13.0,7.0,23000.0,10.86,30.6,1.0,8.0,17.0,2016.0,8.0,2006.0,12.0,116.0,CA,Charged Off,1967.7,1297.98
3500,36.0,15.05,121.42,5.0,14.0,10.0,20000.0,14.29,0.4,0.0,6.0,6.0,2017.0,5.0,2011.0,2.0,75.0,NJ,Current,2442.78,1744.64
35000,60.0,19.48,917.19,3.0,22.0,1.0,125000.0,19.84,37.2,3.0,18.0,49.0,2016.0,2.0,2002.0,8.0,162.0,PA,Fully Paid,48617.7024775829,35000.0
5000,36.0,13.56,169.83,5.0,11.0,1.0,24000.0,33.15,23.5,2.0,21.0,32.0,2018.0,7.0,1992.0,6.0,313.0,TX,Current,1185.04,820.72
1700,36.0,5.32,51.2,7.0,1.0,2.0,55000.0,14.44,9.0,0.0,22.0,37.0,2016.0,3.0,2005.0,9.0,126.0,OH,Fully Paid,1792.8886142349,1700.0
5000,36.0,5.32,150.58,7.0,1.0,7.0,32000.0,7.19,27.4,1.0,13.0,31.0,2016.0,3.0,1999.0,5.0,202.0,MN,Current,5268.82,4850.32
15000,60.0,17.47,376.59,4.0,16.0,2.0,40000.0,16.56,66.6,0.0,8.0,13.0,2018.0,4.0,1994.0,2.0,290.0,WI,Fully Paid,15023.1460833335,15000.0
11200,36.0,10.83,365.78,6.0,8.0,8.0,350004.0,9.43,77.5,4.0,15.0,30.0,2008.0,12.0,1985.0,3.0,285.0,MT,Does not meet the credit policy. Status:Charged Off,3703.270000000001,2465.3
20300,60.0,13.99,472.25,5.0,14.0,8.0,185000.0,20.43,39.5,2.0,23.0,47.0,2015.0,10.0,1995.0,4.0,246.0,MD,Current,18858.44,11919.28
1000,36.0,26.31,40.46,3.0,24.0,3.0,16000.0,4.5,9.9,2.0,10.0,17.0,2018.0,7.0,2015.0,4.0,39.0,VA,Fully Paid,1137.1853693833,1000.0
9000,36.0,7.21,278.76,7.0,3.0,1.0,45000.0,28.08,13.3,0.0,7.0,30.0,2017.0,10.0,1986.0,1.0,381.0,TX,Fully Paid,9316.5295099116,9000.0
16000,60.0,14.99,380.56,5.0,14.0,8.0,92000.0,22.15,42.8,2.0,11.0,17.0,2016.0,11.0,2006.0,2.0,129.0,PA,Current,10261.8,5760.01
15775,60.0,11.55,347.33,6.0,9.0,4.0,305000.0,17.24,9.0,0.0,15.0,30.0,2018.0,10.0,1995.0,12.0,274.0,IN,Current,1379.2,793.34
10000,36.0,13.33,338.54,5.0,13.0,7.0,31000.0,11.07,73.7,0.0,6.0,7.0,2015.0,7.0,2007.0,4.0,99.0,KY,Charged Off,6784.7,4504.69
11000,36.0,14.47,378.47,5.0,12.0,10.0,75000.0,23.22,41.2,1.0,8.0,16.0,2018.0,8.0,2007.0,4.0,136.0,CA,Current,2261.98,1520.16
10000,36.0,8.9,317.54,7.0,5.0,4.0,60000.0,18.76,42.8,0.0,10.0,13.0,2014.0,3.0,2010.0,4.0,47.0,CA,Charged Off,7620.96,6367.33
3000,36.0,14.08,102.65,5.0,13.0,3.0,69500.0,14.87,46.3,1.0,13.0,49.0,2018.0,1.0,2004.0,6.0,163.0,NY,Current,1329.76,941.32
21000,60.0,10.42,450.55,6.0,8.0,10.0,82000.0,22.27,16.2,0.0,10.0,23.0,2017.0,12.0,2001.0,10.0,194.0,VA,Fully Paid,21314.2069039982,21000.0
13925,36.0,24.84,552.48,3.0,23.0,10.0,60000.0,45.86,76.1,0.0,21.0,51.0,2018.0,5.0,1996.0,11.0,258.0,MD,In Grace Period,4419.84,2273.52
10000,36.0,12.69,335.45,5.0,12.0,1.0,60000.0,2.48,51.4,1.0,4.0,7.0,2015.0,4.0,2000.0,2.0,182.0,FL,Fully Paid,11371.52,10000.0
18000,60.0,15.02,428.41,5.0,13.0,10.0,119691.0,21.53,24.4,3.0,21.0,33.0,2018.0,7.0,2002.0,3.0,196.0,PA,Current,2923.77,1476.29
18000,36.0,11.98,597.69,6.0,10.0,4.0,48000.0,9.88,79.7,0.0,17.0,34.0,2018.0,4.0,2007.0,3.0,133.0,IN,Current,5964.92,4372.77
21600,36.0,8.39,680.76,6.0,6.0,2.0,80000.0,17.9,94.8,0.0,7.0,10.0,2016.0,3.0,1996.0,11.0,232.0,WV,Fully Paid,24494.2282522314,21600.0
8000,36.0,9.76,257.24,6.0,8.0,5.0,103000.0,15.19,64.3,0.0,11.0,33.0,2015.0,12.0,2001.0,4.0,176.0,TX,Fully Paid,9278.7975339705,8000.0
24000,36.0,11.99,797.03,6.0,10.0,5.0,63000.0,24.57,78.9,1.0,11.0,31.0,2014.0,11.0,2005.0,6.0,113.0,CA,Fully Paid,28653.058816889,24000.0
16500,36.0,7.35,512.12,7.0,4.0,2.0,51500.0,17.66,48.6,0.0,14.0,22.0,2017.0,9.0,1999.0,10.0,215.0,WA,Fully Paid,17856.2343646691,16500.0
15000,60.0,15.99,364.7,5.0,15.0,10.0,65000.0,15.08,66.0,0.0,8.0,22.0,2017.0,2.0,2004.0,5.0,153.0,VT,Current,8739.48,4625.58
7000,36.0,7.21,216.82,7.0,3.0,5.0,80000.0,14.67,14.7,0.0,13.0,20.0,2018.0,8.0,1996.0,10.0,262.0,CA,Current,3313.12,3098.08
16000,36.0,12.99,539.03,6.0,9.0,4.0,69900.0,7.06,29.8,0.0,12.0,17.0,2013.0,9.0,2000.0,10.0,155.0,NY,Charged Off,10965.68,7006.36
15800,60.0,26.24,475.31,3.0,25.0,4.0,50000.0,26.02,47.1,0.0,7.0,14.0,2016.0,12.0,2005.0,12.0,132.0,IN,Current,12335.03,4481.59
25000,36.0,11.06,819.18,6.0,8.0,10.0,80000.0,28.09,69.9,0.0,16.0,21.0,2018.0,9.0,1994.0,6.0,291.0,CA,Current,4080.54,2998.58
5950,36.0,10.64,193.79,6.0,9.0,10.0,35000.0,20.78,63.0,0.0,5.0,16.0,2015.0,12.0,1996.0,2.0,238.0,OH,Fully Paid,6904.6800373295,5950.0
20000,36.0,11.99,664.2,6.0,8.0,6.0,59000.0,18.03,43.2,0.0,11.0,18.0,2014.0,1.0,1990.0,3.0,286.0,FL,Fully Paid,23731.93,20000.0
22000,60.0,20.99,595.06,3.0,24.0,10.0,50000.0,26.67,30.2,1.0,19.0,28.0,2014.0,11.0,2000.0,11.0,168.0,HI,Fully Paid,30535.7785437911,22000.0
3000,36.0,10.49,97.5,6.0,7.0,10.0,40000.0,13.53,26.0,0.0,6.0,19.0,2016.0,10.0,2004.0,8.0,146.0,AR,Current,2726.5,2250.08
6000,36.0,10.91,196.18,6.0,9.0,1.0,34000.0,13.2,50.4,0.0,10.0,13.0,2018.0,2.0,2012.0,9.0,65.0,VA,Current,2350.52,1787.17
12000,36.0,9.99,387.15,6.0,8.0,10.0,72500.0,22.93,92.9,0.0,12.0,19.0,2015.0,11.0,1994.0,4.0,259.0,GA,Fully Paid,13537.877383889,12000.0
4000,36.0,6.46,122.53,7.0,1.0,2.0,24000.0,4.0,28.9,1.0,4.0,7.0,2018.0,12.0,2006.0,8.0,148.0,CA,Current,251.53,202.55
9000,36.0,11.49,296.75,6.0,10.0,9.0,80000.0,34.91,67.1,0.0,14.0,17.0,2016.0,11.0,2001.0,1.0,190.0,CA,Fully Paid,10232.2363172554,9000.0
4500,36.0,17.86,162.37,4.0,20.0,1.0,10320.0,5.23,5.1,0.0,4.0,12.0,2015.0,4.0,1990.0,6.0,298.0,KY,Fully Paid,5256.9900017004,4500.0
25000,36.0,8.9,793.84,7.0,5.0,10.0,58000.0,13.08,10.6,1.0,15.0,25.0,2014.0,4.0,1979.0,12.0,412.0,PA,Fully Paid,28577.8412362821,25000.0
5000,36.0,10.47,162.45,6.0,7.0,1.0,35000.0,5.25,18.2,0.0,9.0,17.0,2018.0,10.0,1999.0,11.0,227.0,GA,Current,646.89,481.56
3000,36.0,11.49,98.92,6.0,10.0,5.0,39081.6,30.07,54.2,1.0,11.0,29.0,2017.0,4.0,2001.0,11.0,185.0,FL,Charged Off,1448.67,1046.31
33100,60.0,22.74,928.17,3.0,21.0,9.0,69000.0,6.37,5.4,1.0,5.0,24.0,2016.0,11.0,1995.0,9.0,254.0,NJ,Fully Paid,47301.0958156392,33100.0
21000,36.0,6.97,648.14,7.0,3.0,1.0,62000.0,18.64,37.7,1.0,11.0,25.0,2016.0,3.0,1992.0,2.0,289.0,TX,Fully Paid,22259.1379423388,21000.0
5000,36.0,7.26,154.99,7.0,4.0,10.0,35000.0,18.59,28.4,1.0,10.0,25.0,2015.0,12.0,2000.0,7.0,185.0,CA,Fully Paid,5447.2018505362,5000.0
10000,36.0,15.02,346.76,5.0,13.0,7.0,60000.0,27.9,47.8,0.0,11.0,18.0,2018.0,7.0,1991.0,10.0,321.0,FL,Current,2436.32,1603.96
20400,36.0,10.37,661.81,6.0,8.0,6.0,69996.0,8.91,21.4,0.0,11.0,23.0,2011.0,2.0,1997.0,6.0,164.0,NJ,Fully Paid,23171.9972146833,20399.98
24000,60.0,11.06,522.54,6.0,8.0,0.0,47000.0,30.75,37.8,0.0,12.0,27.0,2018.0,10.0,1984.0,2.0,416.0,GA,Current,2075.41,1222.13
14000,36.0,15.02,485.46,5.0,13.0,5.0,51600.0,27.16,55.8,0.0,13.0,19.0,2018.0,9.0,1995.0,8.0,277.0,VA,Current,2462.35,1590.45
12000,36.0,18.25,435.34,4.0,18.0,7.0,50000.0,29.55,60.5,0.0,10.0,17.0,2016.0,3.0,2003.0,7.0,152.0,CA,Charged Off,7412.21,1852.71
12000,36.0,7.34,372.4,7.0,4.0,4.0,45000.0,25.09,78.5,2.0,5.0,19.0,2018.0,4.0,2007.0,8.0,128.0,AL,Current,3719.11,3073.66
20000,36.0,6.49,612.89,7.0,2.0,5.0,85400.0,11.95,77.8,0.0,7.0,18.0,2014.0,6.0,1994.0,9.0,237.0,MD,Fully Paid,22064.0015504722,20000.0
20000,60.0,14.08,466.2,5.0,13.0,10.0,80000.0,26.24,59.8,0.0,15.0,31.0,2017.0,7.0,2003.0,1.0,174.0,NJ,Current,8842.16,4896.07
6000,36.0,10.15,194.03,6.0,7.0,0.0,28000.0,30.73,51.1,1.0,10.0,22.0,2014.0,5.0,2004.0,12.0,113.0,CA,Fully Paid,6944.9300026386,6000.0
16100,60.0,21.49,440.01,4.0,20.0,4.0,62000.0,23.63,63.9,0.0,11.0,16.0,2016.0,11.0,2005.0,8.0,135.0,OH,Charged Off,4351.87,786.08
12000,60.0,22.74,336.5,3.0,21.0,4.0,54000.0,7.18,75.8,1.0,7.0,13.0,2017.0,2.0,2006.0,9.0,125.0,CA,Fully Paid,12734.0702422474,12000.0
8000,36.0,13.68,272.18,5.0,11.0,10.0,98000.0,10.13,68.0,3.0,9.0,36.0,2013.0,9.0,1974.0,8.0,469.0,OR,Fully Paid,9803.9560368654,8000.0
10000,36.0,11.53,329.91,6.0,10.0,10.0,75000.0,33.6,92.0,1.0,19.0,22.0,2015.0,7.0,2002.0,2.0,161.0,SC,Fully Paid,10919.25,10000.0
25000,36.0,15.99,878.81,5.0,15.0,10.0,155000.0,26.23,9.2,2.0,22.0,71.0,2017.0,3.0,1998.0,11.0,220.0,CA,Fully Paid,26737.3396527721,25000.0
17000,36.0,15.8,596.0,5.0,13.0,4.0,60000.0,17.78,84.3,0.0,8.0,35.0,2013.0,4.0,1999.0,4.0,168.0,OH,Charged Off,7748.0,5239.46
22325,36.0,22.47,858.04,3.0,25.0,4.0,71460.0,18.99,95.6,1.0,6.0,10.0,2012.0,11.0,2000.0,11.0,144.0,CA,Fully Paid,30597.7699561523,22325.0
5750,36.0,7.96,180.08,7.0,5.0,4.0,30000.0,29.68,18.9,1.0,9.0,17.0,2018.0,3.0,2005.0,11.0,148.0,CA,Fully Paid,5822.6686339004,5750.0
15500,36.0,9.16,494.06,6.0,7.0,10.0,82500.0,20.38,28.2,0.0,17.0,34.0,2016.0,2.0,2001.0,9.0,173.0,OH,Fully Paid,16503.91,15500.0
15600,60.0,19.53,409.24,4.0,20.0,10.0,60000.0,30.82,93.4,0.0,9.0,18.0,2016.0,3.0,1991.0,12.0,291.0,LA,Fully Paid,22665.5550947304,15600.0
20000,36.0,7.89,625.72,7.0,5.0,4.0,130000.0,20.74,46.7,1.0,12.0,39.0,2015.0,6.0,1999.0,12.0,186.0,NY,Fully Paid,22508.1027486881,20000.0
16000,36.0,5.31,481.77,7.0,1.0,10.0,63000.0,18.06,40.3,0.0,12.0,15.0,2018.0,5.0,2007.0,3.0,134.0,MA,Current,4586.89,4029.21
5000,36.0,12.99,168.45,5.0,11.0,10.0,60000.0,20.06,88.1,1.0,8.0,15.0,2011.0,6.0,1993.0,9.0,213.0,GA,Fully Paid,6046.1716524995,5000.0
8000,36.0,11.99,265.68,6.0,10.0,10.0,43900.0,11.37,79.1,0.0,3.0,9.0,2017.0,10.0,1973.0,2.0,536.0,MA,Current,3979.87,2989.77
20000,36.0,16.91,712.16,5.0,15.0,10.0,100000.0,29.89,63.0,0.0,25.0,44.0,2018.0,12.0,2000.0,4.0,224.0,HI,Current,1386.74,866.72
3000,36.0,23.99,117.69,3.0,22.0,2.0,45000.0,30.0,70.2,1.0,19.0,31.0,2017.0,4.0,2001.0,9.0,187.0,CT,Current,2587.64,1575.3
3000,36.0,11.39,98.78,6.0,8.0,10.0,98000.0,24.01,51.5,1.0,24.0,36.0,2016.0,12.0,1989.0,9.0,327.0,IL,Fully Paid,3425.4448025586,3000.0
8000,36.0,12.99,269.52,5.0,12.0,0.0,30000.0,30.24,54.6,0.0,9.0,18.0,2016.0,3.0,1996.0,12.0,231.0,OH,Charged Off,1341.83,934.62
30000,60.0,12.69,677.85,5.0,12.0,10.0,138000.0,19.68,66.5,1.0,11.0,28.0,2015.0,2.0,1993.0,8.0,258.0,MD,Fully Paid,35630.95,30000.0
25000,36.0,7.34,775.82,7.0,4.0,2.0,50785.0,1.11,2.0,1.0,2.0,3.0,2018.0,4.0,2012.0,3.0,73.0,NM,Current,7748.01,6403.31
25000,36.0,8.39,787.92,7.0,5.0,9.0,87729.0,5.61,77.5,0.0,5.0,26.0,2014.0,7.0,1995.0,6.0,229.0,NH,Fully Paid,28064.4100001236,25000.0
29450,36.0,17.57,1058.35,4.0,19.0,10.0,82000.0,29.18,84.2,3.0,14.0,34.0,2014.0,7.0,1997.0,3.0,208.0,TX,Fully Paid,38062.1499908618,29450.0
10000,60.0,12.69,225.95,5.0,12.0,3.0,62900.0,6.57,64.2,0.0,14.0,20.0,2015.0,7.0,2006.0,8.0,107.0,CA,Fully Paid,12735.5738695561,10000.0
26000,60.0,22.74,729.08,3.0,21.0,10.0,109530.0,15.47,82.0,2.0,12.0,44.0,2017.0,1.0,1990.0,3.0,322.0,FL,Fully Paid,29625.290830054,26000.0
40000,36.0,5.32,1204.6,7.0,1.0,7.0,170000.0,9.56,41.9,0.0,8.0,19.0,2017.0,9.0,1991.0,9.0,312.0,DC,Current,20490.03,18096.86
30000,36.0,12.62,1005.34,5.0,11.0,1.0,110000.0,27.85,93.5,0.0,13.0,34.0,2018.0,1.0,2005.0,8.0,149.0,CA,Fully Paid,33621.1891089405,30000.0
4000,36.0,10.91,130.79,6.0,9.0,5.0,105000.0,20.48,65.7,1.0,16.0,32.0,2017.0,11.0,2011.0,1.0,82.0,TN,Current,1957.0,1510.14
25200,60.0,19.53,661.08,4.0,20.0,2.0,106070.0,14.98,74.7,0.0,9.0,24.0,2016.0,2.0,1997.0,9.0,221.0,UT,Fully Paid,29636.93583682,25200.0
4825,36.0,18.06,174.59,4.0,17.0,9.0,20000.0,9.06,5.0,0.0,10.0,15.0,2018.0,1.0,2006.0,9.0,136.0,IN,Current,2264.83,1452.23
